fid,name,type,addr1,addr2,lon,lat,tel,city,gugun,create_date,erdsgn
1,?지곡마을 체육시설,간이운동장,전라남도 광양시 봉강면 지실길 11-7지곡리 523-1 (사유지),,127.5793647,34.99479494,,전라남도,광양시,20171109,N
2,보령배드민턴구장,기타시설,충청남도 보령시 명천동 1089-1,,126.6099131,36.34411406,041-930-3329,충청남도,보령시,20240521,Y
3,(덕전3리) 세송,간이운동장,경상북도 김천시 대항면 덕전리 1060-1,맞은편,128.0409498,36.12532065,054-421-2165,경상북도,김천시,20130101,N
4,(박리마을) 신왕1리,간이운동장,경북 김천시 조마면 신왕리 1257-1,,128.1423419,36.01924672,054-420-7924,경상북도,김천시,20190101,N
5,(자산경로당),간이운동장,경상북도 김천시 성내동 161-17,자산경로당,128.1220924,36.1207712,054-421-2318,경상북도,김천시,20100101,N
6,(합천마을) 향천2리,간이운동장,경북 김천시 대항면 향천리 838,향천2리 회관 옆,128.0221615,36.12495428,054-421-2165,경상북도,김천시,20190101,N
7,구야리 977 (166-11 맞은편),간이운동장,경상북도 김천시 감문면 구야리 166-9,구야리 977(166-11 맞은편),128.1588134,36.18807013,054-420-7928,경상북도,김천시,20130101,N
8,구천면 미천2리 동네체육시설,간이운동장,경상북도 의성군 의성군 구천면 산9-11,,128.4543942,36.36213142,,경상북도,의성군,20130314,N
9,국당마을 소공원,간이운동장,경상북도 경주시 황남동 483-3,,129.2105285,35.82704596,054-779-8398,경상북도,경주시,20160929,N
10,금서면 매촌마을 운동기구-3,간이운동장,경남 산청군 금서면 매촌리 710-4,,127.8627388,35.41751469,055-970-8205,경상남도,산청군,20200101,N
11,수도사업소 입구,간이운동장,경북 안동시 용상동 440-9,,128.7675696,36.55215363,054-840-4781,경상북도,안동시,20170101,N
12,어룡동 소촌마을 동네체육시설,간이운동장,광주광역시 광산구 소촌동 461-3,,126.7944614,35.14543988,062-960-9923,광주광역시,광산구,20160119,N
13,차탄리 노인회관 뒤,간이운동장,경기도 연천군 연천읍 차현로 92,,127.0768135,38.09940423,031-839-2701,경기도,연천군,20161231,N
14,(갈지리)삼성마을,간이운동장,경상북도 청도군 금천면 갈지리 771,,128.8585447,35.74542597,054-370-2591,경상북도,청도군,19000101,N
15,(게이트볼장-06) 어곡주민공원,전천후게이트볼장,경상남도 양산시 어곡동 348,,129.0269939,35.37771496,055-392-3405,경상남도,양산시,20080101,N
16,(게이트볼장-08) 서창게이트볼장,전천후게이트볼장,경남 양산시 삼호동 823-2,,129.1820248,35.41149933,055-392-6184,경상남도,양산시,20220228,N
17,(게이트볼장-17) 새터어린이공원,전천후게이트볼장,경상남도 양산시 물금읍 가촌리 554-5,,128.9918013,35.32028649,055-392-7015,경상남도,양산시,20140101,N
18,(공원 시설- 동부마을 공원)미상-하북) 하북 순지 동네체육시설(7),간이운동장,경상남도 양산시 하북면 순지리 826-1,,129.0881099,35.4935491,055-392-7254,경상남도,양산시,19000101,N
19,(공원-85) 시설명 미상,간이운동장,경남 양산시 어곡동 909,,129.0239628,35.37838767,055-392-3183,경상남도,양산시,19000101,N
20,(구)공무원교육원,간이운동장,경상북도 경주시 감포읍,,129.498385,35.799514,051-610-4125,경상북도,경주시,20161231,N
21,(구)군수관사 옆 옥천여중 후문 맞은편,간이운동장,충청북도 옥천군 옥천읍 문정1길 13,,127.5731592,36.30482279,,충청북도,옥천군,20100107,N
22,(구)다례마을 체육시설,간이운동장,경상남도 밀양시 무안면 가례리 986,,128.5978222,35.48879162,055-359-5780,경상남도,밀양시,20031024,N
23,(구)모로마을 체육시설,간이운동장,경상남도 밀양시 무안면 모로리 480-2 모로마을회관,,128.6455639,35.46239456,055-359-5780,경상남도,밀양시,20110421,N
24,(구)백성초 내 체육시설(야구장),야구장,경기도 안성시 금산동 119,,127.266622,37.01117133,031-678-6868,경기도,안성시,20200101,N
25,(구)생연배수지 동네체육시설,간이운동장,경기도 동두천시 생연동 산41-13,(구)생연배수지 (생연동 산 44-6),127.062039,37.90585739,031-860-2144,경기도,동두천시,20160816,N
26,(구)야수교내야구장,야구장,,강원도 홍천군 홍천읍 결운리 11,127.9316592,37.72814156,033-430-2453,강원특별자치도,홍천군,20161231,N
27,(구)영호초등학교,간이운동장,경상북도 안동시 옥야동 328-2,,128.7237481,36.56259767,054-840-4811,경상북도,안동시,20170101,N
28,(구)태화사옆 체육시설,간이운동장,경상남도 통영시 명정동,,128.415137,34.847189,052-290-3672,경상남도,통영시,20161231,N
29,(국궁장-02) 회야정,국궁장,경상남도 양산시 평산동 283 웅상체육공원,,129.1428238,35.37694319,055-392-6182,경상남도,양산시,19000101,N
30,(금포마을),간이운동장,경북 김천시 증산면 동안리 52-2,,128.0265448,35.91065349,054-421-2302,경상북도,김천시,20190101,N
31,(김전1리)영골숲,간이운동장,경상북도 청도군 금천면 김전리 15 농협중앙회지원시설,,128.8670124,35.73333516,054-370-2591,경상북도,청도군,20100301,N
32,(김전2리)공원,간이운동장,경북 청도군 금천면 김전리 495-2,,128.851824,35.73416109,054-370-2591,경상북도,청도군,19000101,N
33,(김전2리)정자옆 김전리 580,간이운동장,경북 청도군 금천면 김전리 580,,128.8467405,35.73548378,054-370-6739,경상북도,청도군,20230323,N
34,(덕계동-01)동일2차 주민쉼터,간이운동장,경상남도 양산시 덕계동 1103 동일스위트2차아파트,,129.1477901,35.3732825,055-392-6861,경상남도,양산시,20210506,N
35,(덕계동-02)외산마을회관앞,간이운동장,경상남도 양산시 덕계동 84-3,,129.1625829,35.36907454,055-392-6861,경상남도,양산시,20200417,N
36,(덕계동-1)동일2차,간이운동장,경상남도 양산시 덕계동 1103 동일스위트2차아파트,,129.1477901,35.3732825,055-392-6861,경상남도,양산시,20210506,N
37,(동곡1리)금빛센터,간이운동장,경상북도 청도군 금천면 동곡리 721 금빛센터,,128.8898833,35.69188693,054-370-2591,경상북도,청도군,19000101,N
38,(동곡1리)동곡리 1119-20,간이운동장,경상북도 청도군 금천면 동곡리 1119-20,,128.8964019,35.68334186,054-370-2590,경상북도,청도군,20210325,N
39,(동곡1리)새들보체육공원,간이운동장,경상북도 청도군 금천면 동곡리 1064-25,,128.8982244,35.68704576,054-370-2590,경상북도,청도군,19000101,N
40,(동곡1리)아랫곡,간이운동장,경북 청도군 금천면 동곡리 1119-40,,128.8895134,35.6902527,054-370-2591,경상북도,청도군,20120612,N
41,(동곡1리)한마음공원,간이운동장,경북 청도군 금천면 동곡리 644-1,동곡1리 여자경로당 옆,128.887967,35.69400401,054-370-2591,경상북도,청도군,20041101,N
42,(동곡2리)경로회관 동곡리 242,간이운동장,경상북도 청도군 금천면 동곡리 242 동곡리경로회관,,128.8866479,35.70212317,054-370-6739,경상북도,청도군,20230323,N
43,(미상-체육) 중리마을 동네체육시설,간이운동장,경상남도 양산시 어곡동 9-3 로얄파크빌,,129.0273417,35.38130134,055-392-7411,경상남도,양산시,19000101,N
44,(미정-물금) 가촌마을 동네체육시설,간이운동장,경상남도 양산시 물금읍 가촌리 554-5,,128.9918013,35.32028649,055-392-7016,경상남도,양산시,19000101,N
45,(박곡리)마을창고 옆,간이운동장,경상북도 청도군 금천면 박곡리 1009-3,,128.9166089,35.66817572,054-370-2591,경상북도,청도군,19000101,N
46,(박곡리)박곡리962,간이운동장,경북 청도군 금천면 박곡리 962,,128.9203496,35.66805662,054-370-2591,경상북도,청도군,19000101,N
47,(사전1리)공원,간이운동장,경북 청도군 금천면 사전리 266-2,,128.8872275,35.71361679,054-370-2591,경상북도,청도군,20190528,N
48,(사전1리)공원,간이운동장,경북 청도군 금천면 사전리 285-4,,128.8858827,35.71337836,054-370-2591,경상북도,청도군,20190528,N
49,(사전2리)학동마을,간이운동장,경북 청도군 금천면 사전리 875-1,,128.8816199,35.72831719,054-370-2591,경상북도,청도군,20140501,N
50,(소천1리)마을정자 소천리 1340-1,간이운동장,경북 청도군 금천면 소천리 1340-1,,128.9027594,35.74351995,054-370-6739,경상북도,청도군,20230323,N
51,(소천3리)마을회관,간이운동장,경상북도 청도군 금천면 소천리 1630 소천3리마을회관,,128.8955091,35.7533015,054-370-2591,경상북도,청도군,20190528,N
52,(수도마을회관),간이운동장,경상북도 김천시 증산면 수도리 383 수로마을회관,,128.0054702,35.85383431,054-421-2302,경상북도,김천시,20190101,N
53,(수영장-02) 양산주민편익시설,수영장,경상남도 양산시 동면 석산리 652 주민편익시설,,129.0276,35.32783032,055-392-3403,경상남도,양산시,19000101,N
54,(수영장-03) 웅상문화체육센터,수영장,경상남도 양산시 주진동 72-6,,129.155436,35.39582806,055-392-3403,경상남도,양산시,19000101,N
55,(수영장-04) 양산반다비체육센터,수영장,경상남도 양산시 물금읍 가촌리 1312-4 반다비 체육센터,,129.0028712,35.32300833,054-392-3403,경상남도,양산시,19000101,N
56,(수영장-05) 천성산국민체육센터(양산 생활밀착형 국민체육센터),수영장,경상남도 양산시 상북면 석계리 35-1,,129.0661239,35.41868458,055-392-3403,경상남도,양산시,20220615,N
57,(수영장-06)쌍벽루국민체육센터,수영장,경상남도 양산시 북부동 533 양산종합운동장,쌍벽루국민체육센터,129.0354802,35.34851958,054-379-8444,경상남도,양산시,20240301,N
58,(신지1리)경로당 선암로 468,간이운동장,경상북도 청도군 금천면 신지리 255-1,,128.8958935,35.67793935,054-370-2591,경상북도,청도군,20200524,N
59,(신지2리)동네체육시설,간이운동장,경상북도 청도군 금천면 신지리 1637-21,,128.8874193,35.66794488,054-370-2591,경상북도,청도군,19000101,N
60,(신지3리)건강증진센터,간이운동장,경북 청도군 금천면 신지리 1570-2,,128.9046126,35.67285372,054-370-2591,경상북도,청도군,20160301,N
61,(신지3리)길부지,간이운동장,경북 청도군 금천면 신지리 1427,,128.9027096,35.67382098,054-370-2591,경상북도,청도군,19000101,N
62,(신지3리)마을정자,간이운동장,경북 청도군 금천면 신지리 1593,마을정자 옆,128.9057763,35.67134187,054-370-2591,경상북도,청도군,19000101,N
63,(신지4리)하수종말처리장,간이운동장,경상북도 청도군 금천면 신지리 1637-41,,128.8886724,35.67913522,054-370-2591,경상북도,청도군,19000101,N
64,(실내체육관-01)양산실내체육관,구기체육관,경상남도 양산시 북부동 533 양산종합운동장,,129.0354974,35.34856074,055-379-8534,경상남도,양산시,20000101,N
65,(실내체육관-02) 양산시국민체육센터,생활체육관,경상남도 양산시 물금읍 가촌리 990 국민체육센터,경남 양산시 물금읍 가촌리 990번지 일원,128.9950691,35.32652607,055-379-8650,경상남도,양산시,20101216,Y
66,(실내체육관-04) 더힘찬체육관,생활체육관,경상남도 양산시 물금읍 가촌리 990 국민체육센터,더힘찬체육관,128.9952766,35.32651336,055-379-8634,경상남도,양산시,20200122,N
67,(실내체육관-08) 양산시반다비체육센터(고 양산반다비체육센터),생활체육관,경상남도 양산시 물금읍 가촌리 1312-4 반다비 체육센터,,129.0027247,35.32325263,055-379-8410,경상남도,양산시,20220504,Y
68,(야구장-01) 강민호야구장,야구장,경남 양산시 물금읍 물금리 209-3,,128.9881945,35.29780968,055-392-3404,경상남도,양산시,19000101,N
69,(야구장-07) 삽량체육공원 야구장,야구장,경상남도 양산시 동면 내송리 산70-8,삽량체육공원 야구장,129.0589632,35.32570243,055-392-7104,경상남도,양산시,20201201,N
70,(오봉1리)마을정자 오봉리 301-7,간이운동장,경북 청도군 금천면 오봉리 301-7,오봉리 301-7 정자옆,128.8988052,35.6617509,054-370-2591,경상북도,청도군,20200524,N
71,(오봉1리)마을정자 오봉리 401,간이운동장,경북 청도군 금천면 오봉리 401,,128.9035305,35.66083498,054-370-2590,경상북도,청도군,20210325,N
72,(오봉2리)경로회관 오봉길 152,간이운동장,경상북도 청도군 금천면 오봉리 1010-1 오봉경로회관,,128.9155029,35.65590562,054-370-2591,경상북도,청도군,20160720,N
73,(음봉면) 덕지1리 마을회관,간이운동장,충청남도 아산시 음봉면 덕지리 296-4 덕지리마을회관,,127.0695884,36.83280274,041-537-3105,충청남도,아산시,20220630,N
74,(음봉면) 덕지2리 마을 내,간이운동장,충청남도 아산시 음봉면 덕지리 21-3 초원그린타운,,127.0857135,36.84103563,041-537-3105,충청남도,아산시,20220930,N
75,(음봉면) 동암1리 복지회관,간이운동장,충청남도 아산시 음봉면 동암리 522-16 동암1리복지회관,,127.0547653,36.84673394,041-537-3105,충청남도,아산시,20150101,N
76,(음봉면) 산정1리 마을회관,간이운동장,충청남도 아산시 음봉면 산정리 70-5,,127.0047462,36.85450318,041-537-3105,충청남도,아산시,20160101,N
77,(음봉면) 소동1리 마을회관,간이운동장,충청남도 아산시 음봉면 소동리 236-4 소동1리마을회관,,127.0485937,36.86704057,041-537-3105,충청남도,아산시,20150101,N
78,(음봉면) 소동2리 마을회관,간이운동장,충청남도 아산시 음봉면 소동리 365-4 소동2리마을회관,,127.0441849,36.86679431,041-537-3105,충청남도,아산시,20210101,N
79,(음봉면) 신정1리 마을회관,간이운동장,충청남도 아산시 음봉면 신정리 94-2,,127.0258576,36.87057569,041-537-3105,충청남도,아산시,20150101,N
80,(음봉면) 신정1리 마을회관,간이운동장,충청남도 아산시 음봉면 신정리 94-2,,127.0258149,36.87055344,041-537-3105,충청남도,아산시,19990101,N
81,(음봉면) 신휴1리 마을회관,간이운동장,충청남도 아산시 음봉면 신휴리 92-3,,127.0690403,36.89594262,041-537-3105,충청남도,아산시,20190101,N
82,(음봉면) 신휴3리 마을회관,간이운동장,충청남도 아산시 음봉면 신휴리 214-5 신휴3리마을회관,,127.0652085,36.89760821,041-537-3105,충청남도,아산시,20190101,N
83,(음봉면) 쌍암1리 노인회관,간이운동장,충청남도 아산시 음봉면 쌍암리 74-6 경노당,,127.0799091,36.873659,041-537-3105,충청남도,아산시,20210101,N
84,(음봉면) 쌍암3리 복지회관,간이운동장,충청남도 아산시 음봉면 쌍암리 161-1 쌍암3리복지회관,,127.0813378,36.8792135,041-537-3105,충청남도,아산시,20210101,N
85,(음봉면) 쌍용1리 마을회관,간이운동장,충청남도 아산시 음봉면 쌍룡리 260 쌍용1리마을회관,,127.0684515,36.87108837,041-537-3105,충청남도,아산시,20190101,N
86,(음봉면) 원남1리 마을회관,간이운동장,충청남도 아산시 음봉면 원남리 247-2,,127.026002,36.86453296,041-537-3105,충청남도,아산시,19990101,N
87,(음봉면) 원남1리 마을회관,간이운동장,충청남도 아산시 음봉면 원남리 257-12,,127.0241842,36.86506003,041-537-3105,충청남도,아산시,20170101,N
88,(이순신종합운동장)보조경기장,축구장,충청남도 아산시 풍기동 114-3 이순신빙상장,또는 366-2,127.0223745,36.76887516,041-536-8531,충청남도,아산시,20160707,Y
89,(이순신종합운동장)복합스포츠센터,생활체육관,충청남도 아산시 풍기동 114-3 이순신빙상장,또는 366-2,127.0223745,36.76887516,041-536-8531,충청남도,아산시,20160707,Y
90,(인공암벽장-01) 양산종합운동장,인공암벽장,경상남도 양산시 북부동 533 양산종합운동장,,129.0354802,35.34851958,055-392-3403,경상남도,양산시,19000101,N
91,(임당1리)임당리 1075-1,간이운동장,경북 청도군 금천면 임당리 1075-1,,128.9121625,35.70304225,054-370-2590,경상북도,청도군,20210325,N
92,(임당2리)경로회관,간이운동장,경상북도 청도군 금천면 임당리 1670 임당2리경로회관,,128.9080416,35.69038361,054-370-2591,경상북도,청도군,20220408,N
93,(임당2리)명포습지,간이운동장,경북 청도군 금천면 임당리 2145-11,,128.9055936,35.69051098,054-370-2591,경상북도,청도군,20140314,N
94,(장평노인회관앞),간이운동장,경상북도 김천시 증산면 평촌리 236-3 장평노인회관,,128.0210411,35.89527624,054-421-2302,경상북도,김천시,20080101,N
95,(축구장-03) 서창운동장,축구장,경상남도 양산시 삼호동 산34,,129.1822946,35.41161583,055-392-3404,경상남도,양산시,19000101,N
96,(축구장-04) 웅상체육공원,축구장,경상남도 양산시 평산동 283 웅상체육공원,,129.1434299,35.37762612,055-392-3182,경상남도,양산시,19000101,N
97,(축구장-08)하북체육공원 1구장,축구장,경상남도 양산시 하북면 초산리 456,,129.0786338,35.48064273,055-392-3404,경상남도,양산시,19980101,N
98,(축구장-14) 동면상동체육공원 축구장,축구장,경상남도 양산시 동면 여락리 299 상동체육공원,,129.0902314,35.3063579,055-392-7104,경상남도,양산시,20151201,N
99,(출.문화-01) 탑골저수지 옆 산책로변,간이운동장,경남 양산시 용당동 172-4,,129.1922155,35.41951664,055-392-6182,경상남도,양산시,19000101,N
100,(출.문화-46) 웅상배드민턴장,간이운동장,경상남도 양산시 소주동 1204-5,,129.1507481,35.40057825,055-392-6181,경상남도,양산시,19000101,N
101,(취약시설)(취약시설)(취약시설)세종시민체육관(보조구장 포함),구기체육관,세종특별자치시  조치원읍 신흥리 380 세종특별자치시민체육관,,127.2843763,36.59518931,,세종특별자치시,세종시,19931201,N
102,(취약시설)(취약시설)청양군민체육관,생활체육관,충청남도 청양군 청양읍 충절로 1204,청양군민체육관,126.7946154,36.45368677,,충청남도,청양군,20150901,N
103,(취약시설)강북청소년센터,기타시설,서울특별시 강북구 수유동 535-380 시립강북청소년센터,,127.0064058,37.64598909,,서울특별시,,20010101,N
104,(취약시설)강북청소년센터 수영장,수영장,서울특별시 강북구 수유동 535-380 시립강북청소년센터,,127.0064058,37.64598909,,서울특별시,,20010101,N
105,(취약시설)강진국민체육센터,생활체육관,전라남도 강진군 군동면 호계리 1076 강진종합운동장,,126.7813056,34.64527148,,전라남도,강진군,20020403,N
106,(취약시설)금촌배드민턴장,구기체육관,금촌동378,,126.7263422,37.77410678,,경기도,파주시,20220127,N
107,(취약시설)남원문화체육센터,생활체육관,전라북도 남원시 이백면 서곡리 153 남뭔문화체육센터,,127.4432091,35.42493764,,전북특별자치도,남원시,19961128,N
108,(취약시설)부곡다목적실내체육관,구기체육관,경기도 의왕시 월암동  421 부곡체육공원,,126.9587562,37.31463381,,경기도,의왕시,20051015,N
109,(취약시설)서면실내게이트볼장,,강원특별자치도 양양군 서면 상평리 43,,128.586785,38.07395738,,강원특별자치도,양양군,20040731,N
